,ID,commenterID,articleID,comment,likes,commentID,replyID,date,text,word_count,question_mark,exclamation_mark,start_digit,start_question,longest_word_len,avg_word_len,ratio_stopwords
254,5583,3374,272,"['whoever', 'was', 'in', 'charge', 'of', 'delivering', 'the', '“', 'brown', 'envelopes', '”', 'with', 'this', 'application', 'is', 'getting', 'the', 'chop', 'anyway']",54,9277622,9277622,3hours ago,"['whoever', 'charge', 'deliver', 'brown', 'envelope', 'application', 'get', 'chop', 'anyway']",18,0,1,0,1,11,19.0,0.4211
255,5584,3375,272,"['“', 'the', 'interpretative', 'centre', 'was', 'not', 'commercially', 'driven', '”', 'surely', 'you', '’', 'd', 'get', 'three', 'cuts', 'annually', 'off', 'of', 'that', 'coastal', 'meadow']",15,9277677,9277677,3hours ago,"['interpretative', 'centre', 'commercially', 'drive', 'surely', 'get', 'three', 'cut', 'annually', 'coastal', 'meadow']",18,0,1,0,0,14,22.0,0.3636
256,5585,3376,272,"['that', '’', 's', 'a', 'pity', 'was', 'really', 'looking', 'forward', 'to', 'it']",6,9277670,9277670,3hours ago,"['pity', 'really', 'look', 'forward']",9,0,0,0,0,7,11.0,0.5455
257,5586,3377,272,"['let', '’', 's', 'not', 'build', 'anything', 'ever', 'again', 'we', 'can', 'all', 'go', 'back', 'to', 'living', 'in', 'trees']",9,9278028,9278028,58mins ago,"['let', 'build', 'anything', 'ever', 'go', 'back', 'living', 'tree']",15,0,0,0,0,8,17.0,0.4706
258,5587,3352,273,"['i', '’', 've', 'heard', 'one', 'of', 'the', 'manuscripts', 'contained', 'details', 'of', 'darwin', '’', 's', 'personal', 'life', 'like', 'a', 'recounting', 'of', 'the', 'night', 'he', 'had', 'to', 'sit', 'his', 'son', 'down', 'and', 'tell', 'him', 'he', 'was', 'adapted']",53,9277604,9277604,3hours ago,"['hear', 'one', 'manuscript', 'contain', 'detail', 'darwin', 'personal', 'life', 'like', 'recounting', 'night', 'sit', 'son', 'tell', 'adapt']",31,0,0,0,0,11,35.0,0.5143
259,5588,3378,273,"['tommy', 'roche', 'adapted', 'to', 'or', 'from', 'what', 'exactly']",26,9277650,9277604,3hours ago,"['tommy', 'roche', 'adapt', 'exactly']",8,1,0,0,0,7,8.0,0.5
260,5589,3379,273,"['tommy', 'roche', 'evolved', 'to', 'be', 'exact']",15,9277674,9277604,3hours ago,"['tommy', 'roche', 'evolve', 'exact']",6,0,0,0,0,7,6.0,0.3333
261,5590,3380,273,"['i', 'guess', 'it', '’', 's', 'back', 'to', 'adam', 'and', 'eve', 'then']",47,9277558,9277558,4hours ago,"['guess', 'back', 'adam', 'eve']",9,0,1,0,0,5,11.0,0.5455
262,5591,3381,273,"['darwin', 'award', 'of', 'the', 'year', 'winner', 'has', 'been', 'announced']",22,9277609,9277609,3hours ago,"['darwin', 'award', 'year', 'winner', 'announce']",9,0,0,0,0,9,9.0,0.4444
263,5592,3352,273,"['john', 'sleator', 'anna']",20,9277638,9277609,3hours ago,"['john', 'sleator', 'anna']",4,1,0,0,0,7,3.0,0.0
264,5593,3382,273,"['tommy', 'roche', 'does', 'that', 'make', 'you', 'feel', 'better', 'about', 'yourself']",11,9277694,9277609,3hours ago,"['tommy', 'roche', 'make', 'feel', 'good']",10,1,0,0,0,8,10.0,0.5
265,5594,3383,273,"['maybe', 'it', 'grew', 'legs', 'and', 'walked', 'away']",12,9277961,9277961,1hour ago,"['maybe', 'grow', 'leg', 'walk', 'away']",7,0,0,0,0,6,7.0,0.2857
266,5595,3384,273,"['police', 'say', 'it', '’', 's', 'a', 'rapidly', 'evolving', 'situation']",11,9278066,9278066,47mins ago,"['police', 'say', 'rapidly', 'evolve', 'situation']",7,0,0,0,0,9,9.0,0.3333
267,5596,3385,273,"['there', 'are', 'a', 'lot', 'of', 'ancient', 'irish', 'manuscripts', 'in', 'cambridge', 'which', 'should', 'properly', 'be', 'returned', 'to', 'ireland']",23,9278088,9278088,33mins ago,"['lot', 'ancient', 'irish', 'manuscript', 'cambridge', 'properly', 'return', 'ireland']",17,0,1,0,0,11,17.0,0.5294
268,5597,3369,273,"['i', 'hope', 'they', 'will', 'never', 'be', 'found', 'even', 'darwin', 'himself', 'didn', '’', 't', 'believe', 'in', 'evolution']",1,9277988,9277988,1hour ago,"['hope', 'never', 'find', 'even', 'darwin', 'believe', 'evolution']",14,0,0,0,0,9,16.0,0.5
269,5598,3343,273,"['wreckdefier', 'wrong', 'we', 'know', 'that', 'darwin', 'had', 'not', 'a', 'shred', 'of', 'doubt', 'about', 'the', 'power', 'of', 'natural', 'selection', 'to', 'modify', 'and', 'transmute', 'species', 'darwin', '’', 's', 'correspondence', 'shows', 'that', 'his', 'religious', 'beliefs', 'changed', 'substantially', 'over', 'the', 'course', 'of', 'this', 'life', 'darwin', '’', 's', 'unwillingness', 'to', 'pronounce', 'on', 'religious', 'matters', 'stemmed', 'from', 'his', 'strongly', 'held', 'view', 'that', 'science', 'and', 'religion', 'rest', 'on', 'different', 'foundations', 'and', 'forms', 'of', 'evidence', 'and', 'that', 'his', 'scientific', 'expertise', 'no', 'matter', 'how', 'extensive', 'did', 'not', 'make', 'him', 'a', 'religious', 'authority', 'google', 'and', 'copy', 'and', 'pasting', 'is', 'really', 'handy']",7,9278059,9277988,49mins ago,"['wreckdefier', 'wrong', 'know', 'darwin', 'shred', 'doubt', 'power', 'natural', 'selection', 'modify', 'transmute', 'specie', 'darwin', 'correspondence', 'show', 'religious', 'belief', 'change', 'substantially', 'course', 'life', 'darwin', 'unwillingness', 'pronounce', 'religious', 'matter', 'stem', 'strongly', 'hold', 'view', 'science', 'religion', 'rest', 'different', 'foundation', 'form', 'evidence', 'scientific', 'expertise', 'matter', 'extensive', 'make', 'religious', 'authority', 'google', 'copy', 'pasting', 'really', 'handy']",87,0,1,0,0,14,91.0,0.4396
270,5599,3386,273,"['wreckdefier', '“', 'even', 'darwin', 'himself', 'didn', '’', 't', 'believe', 'in', 'evolution', '”', 'he', 'didn', '’', 't', 'believe', 'in', 'the', 'theory', 'he', 'spent', 'his', 'life', 'working', 'on', 'think', 'we', 'need', 'more', 'then', 'your', 'word', 'on', 'the', 'matter']",3,9278096,9277988,26mins ago,"['wreckdefier', 'even', 'darwin', 'believe', 'believe', 'theory', 'spend', 'life', 'work', 'think', 'need', 'word', 'matter']",30,1,0,0,0,11,36.0,0.5
271,5600,3387,274,"['ce', 'mark', 'chinese', 'engineered', 'lol']",133,9277494,9277494,4hours ago,"['ce', 'mark', 'chinese', 'engineer', 'lol']",6,1,0,0,0,10,5.0,0.0
272,5601,3388,274,"['finbarr', 'walsh', 'ce', 'means', 'conformité', 'européene']",78,9277540,9277494,4hours ago,"['finbarr', 'walsh', 'ce', 'mean', 'conformité', 'européene']",6,0,0,0,0,10,6.0,0.0
273,5602,3389,274,"['alfredo', 'maldonado', 'woosh']",140,9277589,9277494,4hours ago,"['alfredo', 'maldonado', 'woosh']",3,0,0,0,0,9,3.0,0.0
274,5603,3390,274,"['brian', 'woosh', 'stands', 'for', 'well', 'obviously', 'our', 'satire', 'hits']",15,9277611,9277494,3hours ago,"['brian', 'woosh', 'stand', 'well', 'obviously', 'satire', 'hits']",9,0,0,0,0,9,9.0,0.2222
275,5604,3387,274,"['alfredo', 'maldonado', 'when', 'you', 'see', 'some', 'of', 'the', 'stuff', 'i', 'work', 'with', 'that', 'is', 'ce', 'marked', 'it', 'definitely', 'means', 'chinese', 'engineering']",14,9277633,9277494,3hours ago,"['alfredo', 'maldonado', 'see', 'stuff', 'work', 'ce', 'mark', 'definitely', 'mean', 'chinese', 'engineering']",21,0,0,0,0,11,21.0,0.4762
276,5605,3391,274,"['finbarr', 'walsh', 'yep', 'theres', 'a', 'mark', 'which', 'looks', 'like', 'the', 'ce', 'mark', 'but', 'is', 'subtly', 'different', 'and', 'it', 'says', 'china', 'export', 'httpswwwybwcomvhfmarineradioguidewarningdontgetconfusedbetweenthecemarkandthechinaexportmark4607']",14,9277660,9277494,3hours ago,"['finbarr', 'walsh', 'yep', 'theres', 'mark', 'look', 'like', 'ce', 'mark', 'subtly', 'different', 'say', 'china', 'export', 'http']",22,0,0,0,0,96,22.0,0.3182
277,5606,3392,274,"['east', 'way', 'to', 'convince', 'kids', 'xmas', 'is', 'cancelled', '…', 'show', 'them', 'the', 'footage', 'and', 'say', 'santa', 'has', 'to', 'cocoon']",47,9277502,9277502,4hours ago,"['east', 'way', 'convince', 'kid', 'xmas', 'cancel', 'show', 'footage', 'say', 'santa', 'cocoon']",20,0,1,0,0,9,19.0,0.3684
